ri_id,lead_image,ri_name,text_file,n_En,n_Fa,n_Fs,n_Fm,n_Fp,n_Fo3,n_Ca,n_Su,n_Fb,n_St,n_Pr,n_Sa,n_Al,serving_size
0,20190319_214402_steak and chips run 2.jpg,steak and chips run 2,20190319_214402_steak and chips run 2.txt,421,27.62,3.83,1.94,0.17,0.0,29.03,1.3,2.6,0.0,14.69,0.11,0.0,360
1,20200131_225937_movie snacks 20200131 1.jpg,movie snacks 20200131 1,20200131_225937_movie snacks 20200131 1.txt,423,23.89,7.06,10.72,1.1,0.0,40.43,2.92,1.89,27.46,10.82,1.75,0.0,43
2,20210731_212327_chinese leaf & bamboo shoots.jpg,chinese leaf & bamboo shoots,20210731_212327_chinese leaf & bamboo shoots.txt,35,2.15,0.27,0.67,0.78,0.0,2.33,1.64,1.51,0.0,2.01,0.96,0.0,0
3,20191211_135305_artichoke and avocado salad.jpg,artichoke and avocado salad,20191211_135305_artichoke and avocado salad.txt,74,5.04,0.64,2.76,1.38,0.0,6.54,2.68,2.63,0.63,1.28,0.51,0.0,442
4,20200508_155546_stir fry w chinese leaf.jpg,stir fry w chinese leaf,20200508_155546_stir fry w chinese leaf.txt,93,3.76,0.36,0.1,0.12,0.0,12.03,6.44,2.22,0.6,3.21,0.58,0.0,260
5,20210414_153013_seabass w tomato & mangetout salad & anchovy mayo.jpg,seabass w tomato & mangetout salad & anchovy mayo,20210414_153013_seabass w tomato & mangetout salad & anchovy mayo.txt,123,8.16,1.31,2.38,0.85,0.41,2.03,1.48,0.57,0.06,9.64,0.78,0.0,300
6,20190612_123538_harissa ribs & mixed roast veg.jpg,harissa ribs & mixed roast veg,20190612_123538_harissa ribs & mixed roast veg.txt,268,20.18,9.21,0.05,0.12,0.0,9.62,3.0,2.57,0.47,12.52,0.88,0.0,140
7,20200908_172610_red pepper & cauliflower cheese.jpg,red pepper & cauliflower cheese,20200908_172610_red pepper & cauliflower cheese.txt,160,10.18,5.37,2.17,0.35,0.0,11.77,4.28,1.4,0.19,5.84,0.41,0.0,266
8,20190111_182202_poached conger eel and prawn.jpg,poached conger eel and prawn,20190111_182202_poached conger eel and prawn.txt,60,2.98,0.68,1.62,0.23,5.2,1.39,0.38,0.12,0.0,6.41,0.61,0.0,582
9,20190428_185750_seared salmon flank.jpg,seared salmon flank,20190428_185750_seared salmon flank.txt,154,6.26,1.3,1.83,1.51,0.0,0.0,0.0,0.0,0.0,24.34,0.22,0.0,130
10,20200104_160748_mixed moussaka & carrots.jpg,mixed moussaka & carrots,20200104_160748_mixed moussaka & carrots.txt,109,6.34,2.37,2.28,0.4,0.02,9.26,3.89,2.17,1.86,4.51,0.39,0.0,465
11,20200911_143038_homegrown salad.jpg,homegrown salad,20200911_143038_homegrown salad.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,175
12,20190528_175909_ponzu.jpg,ponzu,20190528_175909_ponzu.txt,71,0.35,0.05,0.0,0.0,0.0,17.6,12.35,1.0,3.05,0.5,5.25,0.0,10
13,20200312_190536_beansprout broth w omelette.jpg,beansprout broth w omelette,20200312_190536_beansprout broth w omelette.txt,43,2.26,0.63,0.36,0.21,0.0,3.49,2.13,0.7,0.07,2.24,1.08,0.0,590
14,20191226_142041_mushroom aubergine and barley base.jpg,mushroom aubergine and barley base,20191226_142041_mushroom aubergine and barley base.txt,153,9.53,3.04,2.16,1.95,0.0,14.95,5.05,2.59,1.51,3.92,0.82,0.0,0
15,20190718_140403_tangerine and chilli sauce.jpg,tangerine and chilli sauce,20190718_140403_tangerine and chilli sauce.txt,47,0.28,0.02,0.0,0.01,0.0,9.57,8.54,0.45,0.53,1.68,2.48,0.0,76
16,20190814_141627_fried potato wedges.jpg,fried potato wedges,20190814_141627_fried potato wedges.txt,185,7.44,0.58,0.0,0.0,0.0,27.79,1.25,2.5,0.0,2.36,0.89,0.0,56
17,20200514_154403_hard mango & green leaf salad.jpg,hard mango & green leaf salad,20200514_154403_hard mango & green leaf salad.txt,93,5.27,1.2,2.66,1.01,0.0,10.25,7.33,2.15,0.05,2.57,0.08,0.0,115
18,20200602_064417_roast pork pack lunch.jpg,roast pork pack lunch,20200602_064417_roast pork pack lunch.txt,120,3.24,1.09,1.32,0.55,0.0,9.29,5.87,0.92,2.29,12.78,0.24,0.0,322
19,20210429_211659_strawberry mousse.jpg,strawberry mousse,20210429_211659_strawberry mousse.txt,171,13.88,9.54,3.4,0.31,0.0,10.66,9.2,0.91,0.0,1.9,0.03,0.0,170
20,20190902_151131_avocado couscous.jpg,avocado couscous,20190902_151131_avocado couscous.txt,220,11.18,1.49,6.22,1.49,0.0,26.52,6.87,5.25,0.08,4.83,0.52,0.0,200
21,20200526_095112_beetroot tart & salmon.jpg,beetroot tart & salmon,20200526_095112_beetroot tart & salmon.txt,103,4.32,1.48,0.92,0.7,0.0,5.48,3.56,1.39,0.26,11.05,0.58,0.0,340
22,20210415_133115_sweet pickle soy sauce.jpg,sweet pickle soy sauce,20210415_133115_sweet pickle soy sauce.txt,132,0.3,0.05,0.05,0.15,0.0,27.58,25.28,0.4,0.0,4.15,7.11,0.0,0
23,20210804_162358_oregano & tomato flatbread w mushrooms.jpg,oregano & tomato flatbread w mushrooms,20210804_162358_oregano & tomato flatbread w mushrooms.txt,218,11.52,3.07,5.0,0.95,0.01,23.4,2.71,2.06,0.24,6.31,0.98,0.0,232
24,20190530_140704_pear walnut feta and carrot ribbon salad.jpg,pear walnut feta and carrot ribbon salad,20190530_140704_pear walnut feta and carrot ribbon salad.txt,78,5.21,0.86,1.48,2.6,0.0,6.73,3.45,2.17,0.25,2.5,0.41,0.0,129
25,20190912_102821_fruit and ham breakfast.jpg,fruit and ham breakfast,20190912_102821_fruit and ham breakfast.txt,53,0.87,0.24,0.21,0.16,0.0,10.25,8.28,1.15,0.28,2.14,0.2,0.0,572
26,20210329_224848_ham & avocado salad.jpg,ham & avocado salad,20210329_224848_ham & avocado salad.txt,99,6.8,1.69,2.55,0.47,0.0,3.43,1.13,2.28,0.03,7.1,0.93,0.0,326
27,20200326_152042_seared salmon & fabada de verano.jpg,seared salmon & fabada de verano,20200326_152042_seared salmon & fabada de verano.txt,123,6.89,1.06,4.16,0.93,0.0,7.58,2.12,1.58,1.33,7.67,0.09,0.0,500
28,20190522_151100_smoked salmon w roast veggies and rice.jpg,smoked salmon w roast veggies and rice,20190522_151100_smoked salmon w roast veggies and rice.txt,94,2.02,0.3,0.41,0.25,3.36,13.59,4.22,2.89,0.21,5.45,0.45,0.0,407
29,20200620_122520_crunchy sweet short pastry almond.jpg,crunchy sweet short pastry almond,20200620_122520_crunchy sweet short pastry almond.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,20190425_203928_melon beetroot and steak treat & salad.jpg,melon beetroot and steak treat & salad,20190425_203928_melon beetroot and steak treat & salad.txt,83,3.54,0.95,1.1,0.17,0.04,9.27,6.17,1.66,0.28,4.07,0.15,0.0,606
31,20200723_154309_lamb chops w chickpea casserole & chinese slaw.jpg,lamb chops w chickpea casserole & chinese slaw,20200723_154309_lamb chops w chickpea casserole & chinese slaw.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,520
32,20200627_161021_roast lamb breast.jpg,roast lamb breast,20200627_161021_roast lamb breast.txt,697,63.01,32.21,24.16,2.62,2.62,0.0,0.0,0.0,0.0,29.99,0.85,0.0,308
33,20190903_113654_open roast pork mini pitta w apple sauce.jpg,open roast pork mini pitta w apple sauce,20190903_113654_open roast pork mini pitta w apple sauce.txt,176,7.88,2.4,2.56,1.36,0.0,14.2,5.2,2.3,5.46,12.05,0.37,0.0,187
34,20190826_161442_meat free burger mix.jpg,meat free burger mix,20190826_161442_meat free burger mix.txt,183,7.53,5.52,0.34,0.18,0.0,12.27,3.49,0.92,0.0,13.92,1.96,0.0,0
35,20210412_171548_korean bbq beef.jpg,korean bbq beef,20210412_171548_korean bbq beef.txt,173,10.88,4.33,5.24,0.87,0.0,2.19,1.3,0.76,0.14,16.62,1.18,0.0,152
36,20191122_160747_seabass w aubergine humous and souffle.jpg,seabass w aubergine humous and souffle,20191122_160747_seabass w aubergine humous and souffle.txt,138,8.68,3.09,2.41,0.94,0.27,4.5,2.29,1.58,1.09,10.1,0.85,0.0,410
37,20210322_173152_courgette & red cabbage medley.jpg,courgette & red cabbage medley,20210322_173152_courgette & red cabbage medley.txt,79,5.09,0.73,3.44,0.59,0.0,6.93,4.3,2.82,0.13,2.09,0.24,0.0,212
38,20200515_153000_sunday roast lite.jpg,sunday roast lite,20200515_153000_sunday roast lite.txt,125,7.04,1.8,2.59,1.02,0.0,4.3,1.6,1.05,0.07,11.14,0.65,0.0,560
39,20190122_103733_sourdough rounds.jpg,sourdough rounds,20190122_103733_sourdough rounds.txt,236,1.4,0.23,0.0,0.0,0.0,46.79,0.82,2.36,37.89,8.18,0.72,0.0,26
40,20210408_152802_mint sauce.jpg,mint sauce,20210408_152802_mint sauce.txt,261,19.72,2.83,14.28,1.64,0.0,20.24,18.67,0.67,0.0,0.55,0.22,0.0,110
41,20200507_211752_cod & prawn croquette.jpg,cod & prawn croquette,20200507_211752_cod & prawn croquette.txt,300,14.16,6.57,2.74,0.91,0.32,30.46,3.72,1.61,10.27,11.81,0.57,0.0,0
42,20210817_194804_sausage filled yorkshire pudding.jpg,sausage filled yorkshire pudding,20210817_194804_sausage filled yorkshire pudding.txt,202,13.5,5.78,1.55,0.22,0.0,11.56,1.19,0.94,2.23,8.4,1.24,0.0,636
